meeting_id,caption,speaker,caption_group_id
0,Here we go .,Project Manager,1
0,Welcome everybody .,Project Manager,1
0,"Um , I'm Abigail Claflin .",Project Manager,1
0,You can call me Abbie .,Project Manager,1
0,'S see .,Project Manager,1
0,"PowerPoint , that's not it .",Project Manager,1
0,There we go .,Project Manager,1
0,So this is our kick off meeting .,Project Manager,1
0,Um and I guess we should all get acquainted {vocalsound} .,Project Manager,1
0,{vocalsound} Let's {disfmarker} shall we all introduce ourselves ?,Project Manager,1
0,"Hi I'm Chiara , I'm the um Marketing Expert .",Marketing,2
0,"Um , would you like me to talk about my aims at the moment , or would you like me to just say my name and then we can talk about business later ?",Marketing,2
0,"I think we'll get around to that , yeah .",Project Manager,3
0,So this is just introductions yeah .,Project Manager,3
0,We'll get round to that later .,Marketing,4
0,My name is Chiara and I'm the Marketing Expert .,Marketing,4
0,Okay .,Project Manager,5
0,"I forgot to s say I'm the Project Manager but I figured you all knew that already ,",Project Manager,5
0,{vocalsound},Industrial Designer,6
0,{vocalsound},User Interface,7
0,{vocalsound} um so .,Project Manager,8
0,{vocalsound} I'm Stephanie and I am the User Interface Designer .,User Interface,9
0,I'm Krista and I'm the Industrial Designer .,Industrial Designer,10
0,Okay .,Project Manager,11
0,Um so f here's our agenda for today .,Project Manager,11
0,"Um we're gonna do some tool training , project plan and discuss then close .",Project Manager,11
0,{vocalsound} Um so .,Project Manager,11
0,"So our aim is to produce a remote control that is original , trendy and user friendly .",Project Manager,11
0,"And to do this , we have to {disfmarker} um there's certain things we have to consider about functional aspects and conceptual design of the thing .",Project Manager,11
0,So .,Project Manager,11
0,We'll get to that .,Project Manager,11
0,Oh there it is .,Project Manager,11
0,Right .,Project Manager,11
0,"Functional design , conceptual design and detailed design .",Project Manager,11
0,So throughout our next couple of meetings we'll we'll be covering these things .,Project Manager,11
0,Um {vocalsound} so we're gonna try out our white board .,Project Manager,11
0,"If we'll all draw our favourite animal , to sum up the characteristics of that animal .",Project Manager,11
0,Okay .,Project Manager,11
0,So you want us to draw it and then talk about it ?,User Interface,12
0,Or just draw it ?,User Interface,12
0,{vocalsound},Project Manager,13
0,I think both .,Marketing,14
0,{vocalsound},Marketing,14
0,Yeah .,Project Manager,15
0,Both .,Project Manager,15
0,Yeah {vocalsound} .,Project Manager,15
0,Okay .,User Interface,16
0,Why don't we do both .,User Interface,16
0,Right .,User Interface,16
0,Who starts ?,Marketing,17
0,We ought to decide who starts and {vocalsound} all that .,Marketing,17
0,No ?,Marketing,17
0,Any volunteers ?,Project Manager,18
0,Uh-huh .,Marketing,19
0,Does anyone know what they wanna draw ?,Project Manager,20
0,{vocalsound},Project Manager,20
0,{vocalsound},Industrial Designer,21
0,"Mm , I gotta think about it for a second like .",User Interface,22
0,"Uh {disfmarker} Does it have to be {vocalsound} functional , trendy and user friendly ?",User Interface,22
0,{vocalsound},User Interface,22
0,{vocalsound} I don't think so .,Project Manager,23
0,{vocalsound},Industrial Designer,24
0,Um .,User Interface,25
0,"Okay , I'll draw .",User Interface,25
0,I'll draw one .,User Interface,25
0,{gap},Project Manager,26
0,Make sure {gap} my things here .,User Interface,27
0,Uh-oh .,User Interface,27
0,Right .,User Interface,27
0,"Okay , my favourite animal is {disfmarker} see .",User Interface,27
0,{vocalsound} Oops .,User Interface,27
0,A dolphin .,Project Manager,28
0,"Yeah , it's {vocalsound} {disfmarker}",User Interface,29
0,{vocalsound},Industrial Designer,30
0,{vocalsound} 'S like playing Pictionary .,Project Manager,31
0,"{vocalsound} Yeah , I guess it has a fin on top too , yeah .",User Interface,32
0,{vocalsound} It's my dolphin .,User Interface,32
0,{vocalsound} So what characteristics do you like about your animal ?,Project Manager,33
0,{vocalsound},Project Manager,33
0,{vocalsound},Industrial Designer,34
0,I like its tail .,User Interface,35
0,{vocalsound},Industrial Designer,36
0,"{vocalsound} Um , no , I think dolphins are really uh {disfmarker} I dunno , they're smart and they they're cute and they like swimming and that's cool , like {disfmarker}",User Interface,37
0,{vocalsound} They're graceful .,Project Manager,38
0,"they're graceful yeah , and they're so {disfmarker}",User Interface,39
0,Sleek {vocalsound} .,Project Manager,40
0,{vocalsound} Yeah they're sleek,User Interface,41
0,{vocalsound},Industrial Designer,42
0,"and they look intelligent and I don't know , they're {disfmarker} I guess it's the whole like binocular vision thing .",User Interface,43
0,I don't know how intelligent that one looks {vocalsound} .,Project Manager,44
0,{vocalsound},Industrial Designer,45
0,Yeah he he doesn't look that smart {vocalsound} .,User Interface,46
0,"He's a {disfmarker} {vocalsound} I dunno um they're {disfmarker} I think it's cool the the um {vocalsound} the interaction that or the th things that {disfmarker} the reasons people seem to like you know {disfmarker} you get ex you know people are sitting on the beach and p they're like oh look there's dolphins and it's kinda like {vocalsound} {disfmarker} but they're you know they jump around in the water and they're happy and they're mammals , but they swim .",User Interface,46
0,{gap} {vocalsound},User Interface,46
0,Yes .,Project Manager,47
0,{vocalsound} Does anybody else wanna draw their animal ?,Project Manager,47
0,"Suppose I can draw an animal , yeah .",Industrial Designer,48
0,{vocalsound} {vocalsound} .,Project Manager,49
0,{vocalsound},User Interface,50
0,Uh-oh there goes the ten .,Project Manager,51
0,{vocalsound} Yeah .,Industrial Designer,52
0,{vocalsound} It's a cat .,Project Manager,53
0,{vocalsound},Project Manager,53
0,{vocalsound},User Interface,54
0,I don't know .,Industrial Designer,55
0,"They sleep all day , {vocalsound} they're easy to draw {vocalsound} .",Industrial Designer,55
0,{vocalsound} Do you wanna {gap} anything ?,Project Manager,56
0,Uh yeah .,Marketing,57
0,I dunno if the the {disfmarker},Project Manager,58
0,I think the pen is running out of {disfmarker},Industrial Designer,59
0,"Well I had the cat as well , but uh I've got a spare one .",Marketing,60
0,ah .,Project Manager,61
0,{vocalsound},User Interface,62
0,{vocalsound},Industrial Designer,63
0,So I'll use the spare one .,Marketing,64
0,Um but it's harder to draw {gap} um .,Marketing,64
0,And the pen's dying {vocalsound} .,User Interface,65
0,Um .,Marketing,66
0,A horse .,Project Manager,67
0,Horse .,User Interface,68
0,Uh .,Marketing,69
0,"Um I don't {vocalsound} really know how the legs go ,",Marketing,69
0,{vocalsound},Industrial Designer,70
0,That's very good .,Project Manager,71
0,{vocalsound},Industrial Designer,72
0,but anyway I will do that .,Marketing,73
0,"Um , and the main reason is they're pretty .",Marketing,73
0,"I think they're very pretty and they go well with the environment , and I like the way they run and I used to do horse riding and they're just very sort of sturdy and nice animals .",Marketing,73
0,"And I like the way um they feel , sort of under under the hand , I think that's pretty much it .",Marketing,73
0,Um {disfmarker},Marketing,73
0,{gap} Yeah .,Project Manager,74
0,This cord's {disfmarker} {gap} Uh .,Project Manager,74
0,Right .,Project Manager,74
0,Actually I haven't thought of anything yet {vocalsound} .,Project Manager,74
0,Uh {disfmarker} It's a pig .,Project Manager,74
0,{vocalsound},Industrial Designer,75
0,{vocalsound},Marketing,76
0,"{vocalsound} So I'm thinking we should design a remote control that's water resistant , strong and furry .",Project Manager,77
0,"What do you think , yeah ?",Project Manager,77
0,This is {disfmarker},Project Manager,77
0,And furry .,User Interface,78
0,"yeah , well like a cat , you know , soft yeah .",Project Manager,79
0,{vocalsound},Industrial Designer,80
0,"Textile {disfmarker} tactile , {vocalsound} tactile remote control .",User Interface,81
0,{vocalsound},Marketing,82
0,{vocalsound} Although {disfmarker} uh I'll just put there .,Project Manager,83
0,Right .,Project Manager,83
0,You're dragging a {disfmarker} you have a tail {vocalsound} .,User Interface,84
0,"{gap} Oh my gosh , this is disastrous .",Project Manager,85
0,Sorry about that .,Project Manager,85
0,{vocalsound} Okay .,Project Manager,85
0,{vocalsound} So moving on .,Project Manager,85
0,Our selling price goal is twenty five Euro and profit aim is fifty million Euro .,Project Manager,85
0,"So I'm guessing that we're not actually in Scotland , we're in some European country {vocalsound} .",Project Manager,85
0,"Um , and we will hope to sell this internationally .",Project Manager,85
0,Sorry can you just say that {disfmarker} what's the {disfmarker} what are our price goals again ?,User Interface,86
0,Um selling price is twenty five Euro .,Project Manager,87
0,Profit aim fifty million Euro .,Project Manager,87
0,Okay .,User Interface,88
0,How many should we sell then ?,Marketing,89
0,"{vocalsound} Um , a lot ,",Marketing,89
0,Anyone a mathematician ?,Project Manager,90
0,{vocalsound},Project Manager,90
0,"two two two million , {gap} two mi no , more f four million .",Marketing,91
0,Two million .,Industrial Designer,92
0,Four million .,Marketing,93
0,And it {disfmarker},Marketing,93
0,{vocalsound},Industrial Designer,94
0,"well it's the profit so if a profit for each is twelve fifty , that'll do four million .",Marketing,95
0,"Oh , yeah .",Industrial Designer,96
0,{vocalsound} It is a lot .,Marketing,97
0,Uh .,Marketing,97
0,So f that's a fifty percent um uh .,Project Manager,98
0,"Um , I don't know what these mean because I didn't actually make the slide-show .",Project Manager,98
0,Experience with remote control .,Project Manager,98
0,"So I guess we have to reflect on our experiences with remote controls to decide what um we would like to see in a convenient , practical , nice remote control .",Project Manager,98
0,Um so do we have any initial ideas for uh how this remote control should be designed or formatted or the the buttons it should have .,Project Manager,98
0,"Um , I think one thing is that it should be easy to find",Marketing,99
0,{vocalsound},Industrial Designer,100
0,I was thinking that too .,User Interface,101
0,bec yeah {vocalsound} bec,Marketing,102
0,Yeah .,Project Manager,103
0,"I think we should design something that has like a {disfmarker} so you can {disfmarker} like somehow like you {disfmarker} I mean you always know where your T_V_ is , so just have a call button ,",User Interface,104
0,{vocalsound},Industrial Designer,105
0,"I've always wanted that ,",User Interface,106
0,Yeah .,Project Manager,107
0,so like {vocalsound} you can push a button on your T_V_ {disfmarker},User Interface,108
0,"Yeah , yeah yeah yeah yeah .",Marketing,109
0,"I mean you have it for the portable phone , so why not {disfmarker} yeah .",Project Manager,110
0,"Yeah , yeah yeah yeah , so you should have a call button on your television to be able to find your remote control .",User Interface,111
0,Yeah .,Marketing,112
0,And even I think a little light .,Marketing,112
0,Um or even a {disfmarker} maybe a vib a vibrating thing .,Marketing,112
0,I dunno but someth because it's usually under the sofa .,Marketing,112
0,{vocalsound},Industrial Designer,113
0,Yeah .,User Interface,114
0,Yeah .,User Interface,114
0,In which case you're going to be l but if it has a sort of signal which isn't any sound {disfmarker},Marketing,115
0,Yeah .,User Interface,116
0,I don't know if it's expensive maybe to {disfmarker},Marketing,117
0,I don't {disfmarker} yeah I mean it {disfmarker} but like I mean {disfmarker},User Interface,118
0,Maybe call is enough .,Marketing,119
0,But yeah .,Marketing,119
0,"just I mean like your phone even just has so {disfmarker} like it can vibrate , it can light up and make noise and I dunno {vocalsound}",User Interface,120
0,Yeah yeah yeah .,Marketing,121
0,Yeah .,Marketing,121
0,What if it had something like um just like a magnet on the back of it and you could {disfmarker} I mean j just to have some place to put it besides like a base .,Project Manager,122
0,"You know like a portable phone has a base ,",Project Manager,122
0,Yeah .,User Interface,123
0,"Yeah , or if it had a {disfmarker} yeah .",User Interface,123
0,like just to have a home for it .,Project Manager,124
0,{vocalsound},Industrial Designer,125
0,Yeah yeah yeah yeah .,Marketing,126
0,"Yeah ,",User Interface,127
0,"{vocalsound} 'Cause people just stick it on top of their T_V_ , but the point of having a remote is not to have to walk over to the T_V_ , so {disfmarker}",Project Manager,128
0,I mean {disfmarker},User Interface,129
0,{vocalsound} Well that's why it's always in the couch .,Industrial Designer,130
0,Yeah .,User Interface,131
0,Yeah {vocalsound} .,Project Manager,132
0,"Yeah , in in the couch {vocalsound} .",User Interface,133
0,{vocalsound},Marketing,134
0,{gap},Project Manager,135
0,"I dunno , it seems like though that that would be hard , 'cause you not you're not gonna be lazy anyway and {disfmarker}",User Interface,136
0,Yeah .,Project Manager,137
0,Maybe we should design couches that have the remote control in the side arm .,Project Manager,137
0,{vocalsound},Project Manager,137
0,{vocalsound} {vocalsound},Industrial Designer,138
0,Yeah so we {disfmarker} {vocalsound} the project is now couches and remote controls .,User Interface,139
0,"{vocalsound} But even just a thing to attach it to the w you know if you had a thing , a pretty object attached to the wall .",Marketing,140
0,But that would really make it more expensive .,Marketing,140
0,Yeah .,User Interface,141
0,"But it's only a plastic thing , r really , the thing on the wall .",Marketing,142
0,Yeah .,Project Manager,143
0,Yeah .,User Interface,144
0,Something like that .,Marketing,145
0,"Do you think it needs to be bigger to not lose , or does that not factor in ?",Project Manager,146
0,And the other thing is {disfmarker},Marketing,147
0,Bigger .,User Interface,148
0,Not {disfmarker} well it needs to be sort of {disfmarker},Marketing,149
0,"Like Hand hand held size , yeah .",Project Manager,150
0,Hand-sized .,User Interface,151
0,Yeah .,Marketing,152
0,I don't think you need a {disfmarker},Marketing,152
